T, time, time_on_pso, time_on_solver, status
1.480,0.101,0.070,0.031,0
2.275,0.109,0.071,0.038,0
2.843,0.099,0.070,0.029,0
1.540,0.096,0.070,0.026,0
2.258,0.106,0.070,0.036,0
1.886,0.106,0.070,0.036,0
2.291,0.099,0.070,0.029,0
2.588,0.100,0.070,0.030,0
5.382,0.148,0.071,0.077,-5
2.471,0.104,0.071,0.033,0
3.060,0.316,0.070,0.246,-5
1.739,0.116,0.071,0.045,0
2.389,0.102,0.071,0.031,0
7.064,0.160,0.070,0.090,-5
2.585,0.096,0.071,0.025,0
2.101,0.105,0.072,0.033,0
2.781,0.108,0.070,0.038,0
2.919,0.354,0.070,0.284,-5
2.329,0.099,0.070,0.029,0
2.537,0.108,0.071,0.037,0
2.913,0.105,0.070,0.035,0
2.988,0.699,0.068,0.631,-5
4.924,0.691,0.071,0.620,-5
2.216,0.101,0.070,0.031,0
2.840,0.170,0.070,0.100,0
2.262,0.106,0.071,0.035,0
2.560,0.098,0.070,0.028,0
2.875,0.101,0.070,0.031,0
2.590,0.140,0.070,0.070,-5
5.186,0.276,0.070,0.206,-5
2.652,0.102,0.070,0.032,0
2.219,0.099,0.070,0.029,0
2.452,0.102,0.070,0.032,0
1.814,0.291,0.070,0.221,0
2.421,0.213,0.070,0.143,0
7.145,0.743,0.070,0.673,-5
2.176,0.104,0.070,0.034,0
2.501,0.093,0.071,0.022,0
2.772,0.237,0.070,0.167,0
2.515,0.106,0.071,0.035,0
1.891,0.104,0.070,0.034,0
2.281,0.102,0.069,0.033,0
7.111,0.093,0.069,0.024,-5
2.686,0.098,0.070,0.028,0
2.164,0.098,0.070,0.028,0
3.003,0.120,0.070,0.050,0
2.823,0.101,0.070,0.031,0
2.478,0.113,0.070,0.043,0
1.776,0.104,0.071,0.033,0
2.108,0.103,0.070,0.033,0
1.838,0.107,0.070,0.037,0
1.590,0.105,0.070,0.035,0
2.094,0.101,0.070,0.031,0
2.732,0.291,0.070,0.221,-5
3.026,0.101,0.070,0.031,0
2.430,0.187,0.070,0.117,0
2.337,0.133,0.070,0.063,-5
2.481,0.101,0.070,0.031,0
2.000,0.095,0.070,0.025,0
1.871,0.119,0.069,0.050,0
1.749,0.113,0.070,0.043,0
2.761,0.113,0.070,0.043,0
5.774,0.150,0.071,0.079,-5
2.791,0.122,0.070,0.052,-5
2.223,0.096,0.070,0.026,0
2.179,0.110,0.070,0.040,0
2.708,0.156,0.070,0.086,-5
2.353,0.100,0.070,0.030,0
2.710,0.101,0.070,0.031,0
2.521,0.106,0.070,0.036,0
2.888,0.159,0.070,0.089,-5
2.326,0.096,0.070,0.026,0
2.933,0.104,0.071,0.033,0
2.927,0.149,0.070,0.079,-5
2.652,0.137,0.070,0.067,-5
2.060,0.111,0.069,0.042,0
2.166,0.299,0.070,0.229,-5
2.561,0.105,0.070,0.035,0
2.390,0.100,0.070,0.030,0
2.831,0.103,0.070,0.033,0
2.598,0.110,0.070,0.040,0
2.370,0.285,0.071,0.214,-5
2.559,0.117,0.070,0.047,-5
2.964,0.231,0.070,0.161,-5
2.701,0.104,0.070,0.034,0
2.059,0.098,0.070,0.028,0
2.810,0.097,0.069,0.028,0
2.713,0.107,0.069,0.038,0
2.058,0.096,0.071,0.025,0
2.554,0.097,0.070,0.027,0
2.806,0.588,0.069,0.519,-5
2.842,0.116,0.070,0.046,0
2.792,0.131,0.070,0.061,0
2.843,0.219,0.070,0.149,-5
2.220,0.195,0.069,0.126,-5
2.581,0.253,0.070,0.183,0
2.439,0.109,0.071,0.038,0
2.547,0.193,0.071,0.122,0
2.151,0.100,0.070,0.030,0
2.887,0.098,0.070,0.028,0
2.846,0.103,0.070,0.033,0
2.566,0.095,0.070,0.025,0
7.141,0.104,0.069,0.035,-5
2.342,0.103,0.069,0.034,0
1.972,0.135,0.070,0.065,-5
