T, time, status
2.901,1.434,1
2.464,6.631,-2
2.426,4.967,-2
2.461,5.176,-2
1.977,2.193,1
3.032,1.592,1
2.668,19.920,-3
1.828,1.569,1
2.969,6.373,-2
2.730,1.060,0
2.268,1.521,1
2.845,12.155,-2
2.449,1.417,1
2.388,1.383,1
1.846,6.348,-2
2.470,4.830,-2
2.731,1.331,0
2.957,2.750,1
2.494,8.378,-2
2.692,1.602,1
2.388,1.263,1
2.569,1.988,1
2.601,1.414,0
2.387,8.010,-2
2.419,1.735,0
2.002,3.717,-4
2.518,1.251,0
2.510,1.326,1
2.680,1.371,1
2.018,2.437,1
2.916,8.381,0
2.597,6.561,-2
2.638,5.888,-2
2.569,7.304,-2
2.470,6.006,-4
2.342,15.577,-4
2.636,1.583,1
2.300,1.176,1
2.977,5.448,-2
2.430,1.540,1
2.661,1.517,0
2.766,1.436,1
2.030,2.541,1
2.389,1.219,0
2.926,26.234,-3
2.835,2.035,1
2.497,2.596,1
2.713,5.511,-2
2.112,1.434,1
2.723,1.134,0
2.423,5.698,-2
2.582,1.224,1
2.757,10.170,-2
2.823,18.682,-2
2.250,1.216,0
2.291,1.209,1
2.060,13.605,-2
2.271,1.233,1
2.553,1.782,1
2.100,9.355,-2
2.613,2.805,-4
2.769,1.314,1
2.804,6.036,-2
2.417,1.321,0
2.885,4.897,-2
2.499,4.871,-2
2.651,1.232,1
2.642,23.844,-3
2.096,1.311,1
2.479,8.021,-4
1.578,4.260,-4
3.090,1.493,1
2.285,1.641,1
2.829,1.306,1
2.891,8.570,-2
2.206,1.221,1
2.735,4.426,-4
2.520,1.391,0
2.597,1.678,1
2.856,4.923,-2
2.450,1.248,0
2.038,1.517,1
2.081,2.424,1
2.582,9.841,-2
2.113,11.953,-2
2.913,1.474,1
2.801,1.369,1
1.713,1.889,0
1.816,1.071,1
2.228,1.223,1
2.683,1.292,0
2.966,7.823,-2
2.679,6.556,0
2.484,1.714,1
2.876,4.460,-2
2.023,2.179,1
2.253,1.731,1
2.566,1.529,0
2.788,1.592,1
2.432,1.233,1
1.716,1.998,1
2.930,15.173,-2
2.657,3.767,-2
1.824,1.426,1
2.406,1.245,1
2.400,1.246,1
2.045,1.114,0
2.938,6.283,-2
2.297,1.110,1
2.546,1.690,1
2.797,1.285,0
2.428,1.720,1
2.837,1.454,1
2.553,1.388,0
2.192,4.682,-2
2.250,2.117,1
2.918,8.035,-2
2.971,4.502,1
2.851,2.500,1
2.753,2.386,1
2.925,1.074,0
2.289,4.027,-2
2.319,9.759,-2
2.686,1.321,1
2.664,1.856,0
2.662,1.090,1
2.499,1.479,1
1.775,1.978,1
2.508,10.494,-2
2.861,1.308,1
2.697,1.244,1
2.004,4.980,1
2.362,1.224,1
1.606,6.377,0
1.804,1.231,1
2.125,1.863,1
2.918,2.006,0
2.371,1.138,1
2.348,1.573,1
2.401,1.304,1
2.793,5.097,-2
2.511,1.719,0
2.517,1.806,1
2.198,1.018,0
2.373,1.598,1
2.132,1.329,0
2.663,1.460,1
2.842,1.252,0
2.729,1.015,1
2.747,0.977,1
2.184,1.344,0
2.537,1.424,1
2.075,1.829,1
2.292,1.785,1
2.769,9.451,-2
2.621,1.941,1
2.291,1.564,1
2.803,6.015,-2
2.841,1.652,0
2.676,1.717,1
2.655,15.860,-4
1.758,2.927,0
2.483,1.629,1
2.777,9.515,-2
2.630,3.260,1
2.823,8.202,1
2.737,1.750,1
2.440,1.455,0
2.693,26.146,-3
1.500,1.135,1
2.290,1.176,1
2.749,1.300,0
2.107,1.036,0
2.095,2.106,1
2.761,1.407,1
2.256,1.970,0
2.893,13.692,-2
1.566,2.281,1
2.700,1.040,1
2.263,1.592,0
1.299,1.479,1
2.000,1.903,1
2.956,9.837,-2
2.793,1.772,1
2.290,1.767,1
2.132,1.505,1
3.142,1.770,0
2.561,2.491,1
2.718,0.932,1
2.549,18.672,1
2.568,1.405,0
2.305,1.320,1
2.373,1.229,1
2.868,1.908,0
0.886,2.284,1
2.885,8.176,-2
2.317,1.479,1
2.850,2.214,1
2.766,1.483,1
2.634,2.134,1
2.624,10.400,-2
2.042,1.991,1
2.622,14.051,-2
2.912,5.420,1
3.048,1.984,1
2.388,1.304,1
2.371,11.522,-2
2.876,6.933,-4
2.726,1.973,1
2.479,1.384,0
2.834,9.443,1
1.479,2.665,1
2.623,1.095,0
2.219,1.037,0
2.743,1.603,1
2.493,4.461,-2
2.568,33.137,-3
2.686,7.165,-4
2.292,1.570,1
2.247,3.942,-2
1.862,2.688,1
2.836,1.607,1
2.710,1.553,1
1.907,1.229,0
2.175,5.473,-2
2.587,1.276,1
2.278,1.529,1
2.188,3.134,1
2.534,1.385,1
2.066,1.086,1
2.502,1.308,1
2.447,5.103,-2
2.537,5.714,-2
1.706,5.022,-2
2.703,13.084,-2
2.358,1.182,1
2.582,9.519,-2
2.791,1.756,1
1.982,1.611,0
1.899,1.527,1
2.630,4.475,-2
2.929,9.136,-2
2.578,1.193,1
2.227,5.141,-4
2.145,1.573,1
2.348,2.231,1
1.992,2.283,1
2.339,9.037,-2
2.542,15.251,-2
2.794,10.042,-2
1.764,1.993,1
2.294,1.387,1
2.824,3.512,-2
2.346,4.060,-2
2.308,4.508,1
3.006,8.729,-2
1.136,1.299,1
2.892,5.166,-2
2.525,1.350,1
2.569,0.897,0
2.034,1.491,1
2.486,6.946,-4
2.215,1.288,1
1.892,1.201,1
2.847,21.713,-2
2.058,1.727,1
2.548,1.258,0
2.494,1.162,0
