T, time, time_on_pso, time_on_solver, status
2.877,0.121,0.072,0.049,0
2.403,0.117,0.072,0.045,0
2.288,0.100,0.070,0.030,0
2.087,0.137,0.072,0.065,0
5.053,0.834,0.078,0.756,-5
2.208,0.113,0.076,0.037,0
2.365,0.106,0.075,0.031,0
2.201,0.124,0.075,0.049,0
2.792,0.200,0.074,0.126,-5
2.629,0.147,0.076,0.071,0
2.499,0.199,0.076,0.123,-5
2.813,0.109,0.074,0.035,0
2.845,0.155,0.073,0.082,0
2.858,0.141,0.076,0.065,0
1.882,0.128,0.077,0.051,0
1.923,0.155,0.076,0.079,0
2.476,0.153,0.074,0.079,0
2.877,0.107,0.071,0.036,0
5.031,0.446,0.074,0.372,-5
2.073,0.131,0.074,0.057,0
2.627,0.110,0.074,0.036,0
2.289,0.104,0.075,0.029,0
3.176,0.205,0.076,0.129,0
2.775,0.147,0.082,0.065,0
2.404,0.112,0.076,0.036,0
2.694,0.157,0.079,0.078,0
2.304,0.117,0.075,0.042,0
2.533,0.113,0.075,0.038,0
2.542,0.120,0.073,0.047,0
2.146,0.111,0.073,0.038,0
1.868,0.129,0.074,0.055,0
2.908,0.917,0.085,0.832,-5
2.352,0.181,0.073,0.108,0
3.126,0.151,0.081,0.070,0
2.475,0.110,0.073,0.037,0
2.913,0.119,0.072,0.047,0
2.901,0.184,0.071,0.113,-5
2.763,0.125,0.073,0.052,0
2.682,0.099,0.073,0.026,0
2.933,0.166,0.074,0.092,-5
2.064,0.103,0.072,0.031,0
2.877,0.127,0.074,0.053,0
2.650,0.124,0.075,0.049,0
2.938,0.887,0.072,0.815,-5
2.481,0.350,0.073,0.277,-5
2.672,0.144,0.072,0.072,0
2.152,0.115,0.073,0.042,0
2.541,0.143,0.073,0.070,-5
2.616,0.111,0.072,0.039,0
1.825,0.102,0.072,0.030,0
2.731,0.110,0.072,0.038,0
2.753,0.315,0.072,0.243,-5
2.546,0.108,0.072,0.036,0
3.116,0.165,0.072,0.093,-5
2.052,0.113,0.075,0.038,0
2.391,0.123,0.081,0.042,0
2.796,0.116,0.068,0.048,0
2.928,0.125,0.069,0.056,0
2.903,0.110,0.070,0.040,0
2.598,0.110,0.071,0.039,0
2.568,0.143,0.075,0.068,0
5.190,1.083,0.076,1.007,-5
2.668,0.151,0.072,0.079,-5
2.272,0.108,0.068,0.040,0
2.356,0.223,0.068,0.155,-5
2.436,0.107,0.068,0.039,0
2.735,0.101,0.068,0.033,0
2.442,0.100,0.068,0.032,0
2.265,0.097,0.068,0.029,0
2.563,0.090,0.068,0.022,0
2.301,0.098,0.067,0.031,0
2.860,0.107,0.068,0.039,0
2.278,0.099,0.068,0.031,0
2.837,0.091,0.068,0.023,0
2.731,0.129,0.068,0.061,-5
2.376,0.097,0.067,0.030,0
2.468,0.100,0.068,0.032,0
2.884,0.360,0.067,0.293,-5
2.503,0.095,0.068,0.027,0
2.897,0.259,0.068,0.191,0
2.958,0.130,0.068,0.062,-5
2.709,0.093,0.068,0.025,0
2.451,0.094,0.067,0.027,0
3.079,0.134,0.067,0.067,-5
2.197,0.099,0.068,0.031,0
2.423,0.204,0.080,0.124,-5
6.080,0.349,0.068,0.281,-5
2.528,0.104,0.068,0.036,0
2.436,0.102,0.068,0.034,0
2.858,0.220,0.068,0.152,-5
2.643,0.097,0.068,0.029,0
2.692,0.112,0.069,0.043,0
2.744,0.238,0.067,0.171,0
2.252,0.092,0.068,0.024,0
2.682,0.099,0.068,0.031,0
2.171,0.094,0.068,0.026,0
2.722,0.101,0.067,0.034,0
2.596,0.134,0.068,0.066,-5
2.138,0.114,0.067,0.047,0
3.081,0.107,0.068,0.039,0
2.377,0.102,0.068,0.034,0
2.821,0.479,0.067,0.412,0
2.555,0.230,0.068,0.162,-5
2.603,0.107,0.068,0.039,0
2.183,0.099,0.068,0.031,0
2.838,0.109,0.067,0.042,0
2.627,0.106,0.067,0.039,0
2.430,0.097,0.067,0.030,0
2.325,0.126,0.069,0.057,-5
2.564,0.094,0.067,0.027,0
2.287,0.095,0.067,0.028,0
2.345,0.103,0.067,0.036,0
2.167,0.095,0.067,0.028,0
2.163,0.103,0.067,0.036,0
2.809,0.140,0.067,0.073,-5
2.995,0.775,0.067,0.708,-5
2.147,0.099,0.067,0.032,0
2.382,0.105,0.066,0.039,0
2.168,0.099,0.066,0.033,0
2.426,0.093,0.066,0.027,0
1.580,0.270,0.065,0.205,0
2.307,0.098,0.067,0.031,0
2.308,0.099,0.068,0.031,0
2.734,0.117,0.067,0.050,0
2.893,0.128,0.067,0.061,-5
2.550,0.127,0.066,0.061,-5
2.380,0.099,0.067,0.032,0
2.193,0.102,0.067,0.035,0
2.910,0.811,0.105,0.706,-5
2.093,0.206,0.073,0.133,-5
2.201,0.118,0.081,0.037,0
2.196,0.330,0.074,0.256,-5
2.909,0.144,0.070,0.074,-5
2.698,0.109,0.071,0.038,0
2.743,0.109,0.072,0.037,0
2.834,0.131,0.069,0.062,-5
2.146,0.098,0.068,0.030,0
2.960,0.107,0.066,0.041,0
2.359,0.286,0.066,0.220,-5
1.973,0.122,0.068,0.054,0
2.945,0.215,0.068,0.147,-5
2.837,0.156,0.068,0.088,-5
2.834,0.102,0.068,0.034,0
2.815,0.093,0.070,0.023,0
2.823,0.164,0.070,0.094,-5
2.758,0.095,0.070,0.025,0
2.829,0.105,0.067,0.038,0
2.350,0.108,0.071,0.037,0
2.909,0.142,0.070,0.072,0
2.513,0.103,0.068,0.035,0
2.302,0.096,0.067,0.029,0
2.639,0.193,0.069,0.124,-5
2.794,0.113,0.070,0.043,0
1.315,0.105,0.070,0.035,0
2.490,0.115,0.073,0.042,0
2.867,0.128,0.071,0.057,0
2.634,0.101,0.070,0.031,0
2.744,0.133,0.069,0.064,-5
2.784,0.093,0.068,0.025,0
2.064,0.103,0.070,0.033,0
2.768,0.152,0.082,0.070,-5
2.493,0.101,0.073,0.028,0
2.958,0.125,0.070,0.055,0
2.191,0.117,0.073,0.044,0
2.254,0.124,0.079,0.045,0
2.348,0.121,0.071,0.050,0
