T, time, time_on_pso, time_on_solver, status
2.389,0.093,0.075,0.018,0
2.871,0.136,0.075,0.061,-5
2.585,0.093,0.075,0.018,0
2.101,0.136,0.075,0.061,0
2.781,0.101,0.075,0.026,0
2.919,0.142,0.075,0.067,-5
2.329,0.095,0.075,0.020,0
2.537,0.113,0.075,0.038,0
2.913,0.105,0.075,0.030,0
2.988,0.643,0.096,0.547,-5
2.900,0.104,0.075,0.029,0
2.216,0.100,0.075,0.025,0
2.840,0.162,0.075,0.087,-5
2.262,0.100,0.075,0.025,0
2.560,0.098,0.075,0.023,0
2.875,0.105,0.075,0.030,0
2.590,0.232,0.075,0.157,-5
2.814,0.324,0.075,0.249,-5
2.652,0.107,0.077,0.030,0
2.219,0.096,0.075,0.021,0
2.452,0.101,0.074,0.027,0
1.814,0.200,0.075,0.125,0
2.421,0.180,0.075,0.105,0
2.941,0.112,0.075,0.037,0
2.176,0.112,0.075,0.037,0
2.501,0.093,0.075,0.018,0
2.772,0.234,0.075,0.159,0
2.515,0.106,0.075,0.031,0
1.891,0.101,0.075,0.026,0
2.281,0.106,0.075,0.031,0
2.937,0.681,0.075,0.606,-5
2.686,0.100,0.075,0.025,0
2.164,0.097,0.075,0.022,0
3.003,0.112,0.076,0.036,0
2.823,0.100,0.075,0.025,0
2.478,0.109,0.075,0.034,0
1.776,0.102,0.075,0.027,0
2.108,0.100,0.075,0.025,0
1.838,0.105,0.075,0.030,0
1.590,0.100,0.075,0.025,0
2.094,0.107,0.080,0.027,0
2.732,0.256,0.075,0.181,-5
3.026,0.123,0.075,0.048,0
2.430,0.161,0.075,0.086,0
2.337,0.168,0.075,0.093,-5
2.481,0.107,0.075,0.032,0
2.000,0.098,0.075,0.023,0
1.871,0.112,0.078,0.034,0
1.749,0.104,0.075,0.029,0
2.761,0.119,0.075,0.044,0
2.479,0.091,0.074,0.017,0
2.791,0.174,0.075,0.099,-5
2.223,0.101,0.075,0.026,0
2.179,0.103,0.075,0.028,0
2.708,0.218,0.075,0.143,-5
2.353,0.106,0.079,0.027,0
2.710,0.095,0.074,0.021,0
2.521,0.102,0.074,0.028,0
2.888,0.158,0.075,0.083,-5
2.326,0.104,0.074,0.030,0
2.933,0.244,0.075,0.169,-5
2.927,0.153,0.075,0.078,-5
2.652,0.143,0.074,0.069,-5
2.060,0.105,0.074,0.031,0
2.166,0.175,0.075,0.100,0
2.561,0.105,0.075,0.030,0
2.390,0.101,0.075,0.026,0
2.831,0.111,0.075,0.036,0
2.598,0.107,0.075,0.032,0
2.370,0.227,0.075,0.152,0
2.559,0.181,0.075,0.106,-5
2.964,0.185,0.075,0.110,-5
2.701,0.112,0.075,0.037,0
2.059,0.100,0.075,0.025,0
2.810,0.100,0.075,0.025,0
2.713,0.110,0.075,0.035,0
2.058,0.096,0.075,0.021,0
2.554,0.100,0.075,0.025,0
2.806,0.521,0.075,0.446,-5
2.842,0.106,0.074,0.032,0
2.792,0.098,0.075,0.023,0
2.843,0.408,0.075,0.333,-5
2.220,0.231,0.075,0.156,-5
2.581,0.203,0.074,0.129,-5
2.439,0.094,0.075,0.019,0
2.547,0.139,0.074,0.065,0
2.151,0.098,0.074,0.024,0
2.887,0.106,0.075,0.031,0
2.846,0.100,0.075,0.025,0
2.566,0.095,0.075,0.020,0
2.862,0.118,0.075,0.043,0
2.342,0.104,0.075,0.029,0
1.972,0.102,0.075,0.027,0
2.763,0.345,0.074,0.271,-5
2.200,0.095,0.075,0.020,0
2.199,0.104,0.075,0.029,0
2.507,0.101,0.075,0.026,0
2.156,0.112,0.074,0.038,0
1.551,0.106,0.075,0.031,0
2.272,0.107,0.074,0.033,0
2.308,0.110,0.075,0.035,0
2.890,0.117,0.075,0.042,0
2.900,0.116,0.075,0.041,0
2.870,0.334,0.075,0.259,-5
2.950,0.111,0.075,0.036,0
2.934,0.611,0.075,0.536,-5
2.964,0.100,0.075,0.025,0
2.434,0.100,0.075,0.025,0
2.403,0.102,0.075,0.027,0
2.573,0.098,0.075,0.023,0
2.911,0.188,0.075,0.113,-5
2.709,0.098,0.075,0.023,0
2.217,0.101,0.074,0.027,0
2.545,0.102,0.075,0.027,0
2.742,0.107,0.075,0.032,0
2.735,0.099,0.074,0.025,0
2.943,0.387,0.075,0.312,-5
2.111,0.099,0.075,0.024,0
2.671,0.101,0.075,0.026,0
2.669,0.107,0.075,0.032,0
2.815,0.103,0.075,0.028,0
2.030,0.102,0.075,0.027,0
2.704,0.100,0.075,0.025,0
2.787,0.105,0.075,0.030,0
2.258,0.097,0.075,0.022,0
2.815,0.105,0.074,0.031,0
1.731,0.093,0.075,0.018,0
2.966,0.122,0.074,0.048,-5
2.326,0.101,0.075,0.026,0
2.414,0.111,0.074,0.037,0
2.262,0.104,0.075,0.029,0
2.946,0.096,0.075,0.021,0
2.242,0.098,0.075,0.023,0
2.652,0.180,0.075,0.105,0
2.321,0.216,0.075,0.141,-5
2.246,0.097,0.074,0.023,0
2.733,0.105,0.078,0.027,0
2.865,0.119,0.076,0.043,0
2.479,0.095,0.075,0.020,0
2.530,0.109,0.075,0.034,0
2.476,0.201,0.075,0.126,-5
2.265,0.106,0.075,0.031,0
2.724,0.100,0.074,0.026,0
1.841,0.201,0.075,0.126,0
2.114,0.100,0.075,0.025,0
2.692,0.097,0.076,0.021,0
2.539,0.095,0.075,0.020,0
2.902,0.214,0.075,0.139,-5
2.449,0.117,0.075,0.042,0
2.414,0.183,0.075,0.108,-5
2.431,0.253,0.075,0.178,-5
1.977,0.132,0.075,0.057,-5
3.005,0.104,0.076,0.028,0
2.668,0.138,0.075,0.063,-5
1.829,0.105,0.076,0.029,0
2.953,0.141,0.075,0.066,-5
2.730,0.093,0.075,0.018,0
2.268,0.105,0.075,0.030,0
2.829,0.245,0.075,0.170,-5
2.450,0.099,0.075,0.024,0
2.388,0.105,0.078,0.027,0
1.837,0.172,0.075,0.097,0
2.456,0.453,0.075,0.378,-5
2.732,0.200,0.075,0.125,0
2.958,0.113,0.075,0.038,0
2.481,0.175,0.079,0.096,-5
2.693,0.103,0.075,0.028,0
2.388,0.123,0.075,0.048,0
2.570,0.106,0.075,0.031,0
2.602,0.113,0.075,0.038,0
2.375,0.203,0.075,0.128,-5
2.419,0.094,0.075,0.019,0
1.993,0.156,0.075,0.081,0
2.519,0.097,0.075,0.022,0
