T, time, status
2.300,0.059,0
2.959,0.093,0
2.430,0.070,0
2.662,0.075,0
2.767,0.069,0
2.030,0.301,0
2.390,0.056,0
2.926,0.127,-5
2.802,0.103,0
2.497,0.057,0
2.694,0.091,0
2.112,0.062,0
2.724,0.059,0
2.410,0.096,-5
2.583,0.061,0
2.741,0.083,0
2.808,0.140,-5
2.250,0.102,0
2.291,0.117,0
2.044,0.073,0
2.271,0.077,0
2.554,0.079,0
2.087,0.180,-5
2.601,0.062,0
2.770,0.073,0
2.788,0.440,-5
2.417,0.055,0
2.865,0.103,-5
2.485,0.251,-5
2.651,0.061,0
2.642,0.077,-5
2.097,0.072,0
2.464,0.082,0
1.570,0.051,0
3.091,0.091,0
2.286,0.055,0
2.829,0.081,0
2.875,0.083,0
2.207,0.104,-5
2.719,0.096,-5
2.520,0.061,0
2.598,0.082,0
2.837,0.198,-5
2.451,0.092,0
2.038,0.077,0
2.081,0.141,0
2.560,0.090,0
2.102,0.181,0
2.913,0.075,0
2.801,0.072,0
1.714,0.062,0
1.816,0.060,0
2.228,0.109,0
2.683,0.064,0
2.946,0.748,-5
2.679,0.079,0
2.484,0.064,0
2.861,0.088,0
2.024,0.064,0
2.254,0.076,0
2.567,0.072,0
2.789,0.065,0
2.432,0.086,0
1.716,0.112,0
2.908,0.074,0
2.641,0.121,-5
1.825,0.060,0
2.406,0.088,-5
2.400,0.062,0
2.045,0.061,0
2.917,0.081,0
2.297,0.089,0
2.547,0.060,0
2.797,0.088,0
2.428,0.059,0
2.838,0.123,0
2.553,0.069,0
2.182,0.125,-5
2.250,0.099,0
2.899,0.100,0
2.971,0.135,0
2.852,0.241,-5
2.753,0.165,-5
2.925,0.084,0
2.279,0.060,0
2.307,0.470,-5
2.686,0.062,0
2.664,0.060,0
2.662,0.151,0
2.499,0.084,0
1.775,0.067,0
2.498,0.096,0
2.862,0.107,0
2.697,0.127,0
2.005,0.114,-5
2.363,0.059,0
1.607,0.239,-5
1.804,0.075,0
2.125,0.064,0
2.918,0.090,0
2.371,0.059,0
2.348,0.081,0
2.401,0.073,0
2.761,0.066,0
2.511,0.059,0
2.518,0.078,0
2.198,0.082,0
2.374,0.076,0
2.132,0.049,0
2.664,0.098,0
2.843,0.069,0
2.729,0.103,0
2.747,0.138,0
2.185,0.049,0
2.538,0.095,0
2.076,0.165,-5
2.292,0.050,0
2.750,0.227,-5
2.621,0.094,0
2.291,0.103,0
2.783,0.095,0
2.842,0.092,0
2.677,0.076,0
2.641,0.150,-5
1.758,0.064,0
2.483,0.057,0
2.763,0.119,0
2.630,0.136,-5
2.824,0.112,-5
2.737,0.069,0
2.440,0.054,0
2.676,0.144,-5
1.500,0.062,0
2.290,0.140,0
2.750,0.061,0
2.107,0.102,0
2.095,0.087,0
2.762,0.090,0
2.257,0.049,0
2.874,0.117,-5
1.566,0.063,0
2.701,0.099,0
2.263,0.106,0
1.300,0.076,0
2.001,0.061,0
2.941,0.135,0
2.794,0.074,0
2.290,0.068,0
2.133,0.074,0
3.142,0.114,0
2.562,0.085,0
2.718,0.107,-5
2.549,0.069,0
2.568,0.073,0
2.306,0.078,0
2.373,0.095,0
2.868,0.203,-5
0.887,0.060,0
2.865,0.118,-5
2.317,0.045,0
2.850,0.669,-5
2.767,0.067,0
2.634,0.083,0
2.609,0.217,0
2.042,0.098,-5
2.606,0.162,-5
2.913,0.653,-5
3.048,0.116,0
2.389,0.066,0
2.361,0.232,0
2.859,0.564,-5
2.726,0.075,0
2.480,0.064,0
2.835,0.252,0
1.479,0.057,0
2.624,0.441,-5
2.219,0.090,0
2.743,0.072,0
2.478,0.061,0
2.569,0.088,0
2.671,0.103,-5
2.292,0.068,0
2.236,0.078,0
1.862,0.064,0
2.836,0.077,0
2.711,0.072,0
1.908,0.061,0
2.164,0.100,0
2.587,0.131,0
2.279,0.067,0
2.188,0.149,0
2.534,0.068,0
2.066,0.085,0
2.502,0.109,0
2.432,0.217,0
2.508,0.093,0
1.697,0.238,-5
2.689,0.097,-5
2.358,0.079,0
2.557,0.354,-5
2.791,0.073,0
1.982,0.061,0
1.899,0.063,0
2.617,0.105,0
2.911,0.090,0
2.579,0.179,-5
2.214,0.114,-5
2.146,0.057,0
2.348,0.112,0
1.993,0.064,0
2.318,0.462,-5
2.529,0.062,0
2.776,0.066,0
1.765,0.072,0
2.294,0.068,0
2.807,0.119,0
2.335,0.098,-5
2.308,0.085,0
2.987,0.144,0
1.136,0.081,0
2.875,0.139,-5
2.525,0.181,0
2.569,0.098,0
2.035,0.057,0
2.475,0.563,-5
2.215,0.068,0
1.892,0.084,0
2.828,0.095,0
2.058,0.056,0
2.548,0.057,0
2.494,0.066,0
2.539,0.115,-5
2.592,0.108,0
2.766,0.082,0
2.170,0.080,0
2.845,0.106,0
2.552,0.110,0
1.882,0.024,0
2.727,0.165,0
2.523,0.113,0
2.406,0.069,0
1.717,0.051,0
2.424,0.078,0
2.531,0.067,0
2.514,0.117,0
2.276,0.065,0
2.256,0.236,0
1.551,0.069,0
2.271,0.117,-5
2.636,0.134,0
3.149,0.143,0
2.761,0.093,0
2.839,0.053,0
2.673,0.077,0
2.538,0.078,0
2.393,0.098,-5
2.577,0.060,0
2.802,0.052,0
2.202,0.160,0
2.468,0.057,0
2.647,0.075,0
2.890,0.112,-5
2.362,0.081,0
2.980,0.166,0
2.430,0.092,0
2.691,0.194,0
2.612,0.102,-5
1.779,0.116,0
2.688,0.192,-5
2.124,0.062,0
2.847,0.096,0
2.183,0.115,-5
1.894,0.055,0
2.345,0.073,0
2.192,0.059,0
2.917,0.570,-5
2.684,0.104,-5
2.888,0.141,0
2.515,0.073,0
1.688,0.058,0
2.494,0.082,0
2.564,0.237,0
2.144,0.054,0
0.822,0.085,0
2.870,0.115,-5
2.522,0.069,0
2.762,0.084,0
2.085,0.116,-5
2.188,0.066,0
2.127,0.058,0
2.615,0.083,0
2.464,0.093,0
2.735,0.068,0
2.627,0.099,0
2.118,0.064,0
2.739,0.074,0
2.558,0.067,0
1.910,0.049,0
2.308,0.091,-5
2.595,0.100,0
2.257,0.066,0
2.241,0.060,0
2.531,0.074,0
2.739,0.206,-5
2.761,0.086,0
2.658,0.097,-5
1.954,0.075,0
2.775,0.130,-5
2.246,0.057,0
2.616,0.086,0
2.465,0.250,-5
1.752,0.057,0
1.993,0.068,0
2.916,0.193,-5
1.945,0.065,0
2.921,0.666,-5
2.803,0.176,-5
2.889,0.053,0
2.184,0.066,0
2.421,0.156,-5
2.719,0.119,-5
2.797,0.161,0
2.228,0.109,-5
1.846,0.085,0
1.788,0.086,0
2.103,0.066,0
2.678,0.161,-5
1.888,0.061,0
2.942,0.173,-5
2.175,0.089,0
2.381,0.058,0
2.102,0.083,0
2.710,0.064,0
2.108,0.091,-5
2.378,0.088,0
2.699,0.078,0
2.577,0.095,-5
2.793,0.160,-5
2.553,0.107,-5
2.932,0.111,0
2.055,0.110,-5
2.406,0.087,0
2.371,0.066,0
2.372,0.101,-5
2.820,0.135,0
2.724,0.106,0
2.890,0.135,-5
2.296,0.054,0
2.230,0.044,0
2.870,0.099,0
2.435,0.081,0
2.546,0.064,0
2.643,0.189,-5
2.148,0.075,0
2.976,0.141,0
2.124,0.108,-5
2.932,0.224,-5
2.063,0.076,0
2.719,0.076,0
2.633,0.115,-5
2.223,0.097,0
2.600,0.184,0
2.663,0.121,-5
1.754,0.104,0
2.666,0.073,0
2.652,0.083,0
2.409,0.119,-5
1.919,0.181,-5
2.509,0.115,0
1.751,0.056,0
2.802,0.112,0
2.200,0.073,0
2.713,0.571,-5
1.397,0.064,0
2.797,0.075,0
2.745,0.081,0
2.598,0.056,0
2.239,0.036,0
1.683,0.082,0
2.265,0.110,-5
2.739,0.116,0
2.308,0.142,-5
2.718,0.094,-5
2.064,0.071,0
2.303,0.073,0
1.868,0.110,0
2.214,0.088,-5
2.450,0.059,0
2.783,0.081,0
2.551,0.063,0
2.915,0.087,0
2.499,0.079,0
2.328,0.107,0
1.947,0.054,0
2.547,0.339,-5
2.496,0.092,0
1.713,0.126,-5
2.681,0.138,0
1.594,0.284,-5
2.695,0.171,-5
2.392,0.174,0
2.562,0.108,0
2.237,0.051,0
2.339,0.092,0
2.868,0.091,0
2.447,0.097,-5
2.192,0.067,0
2.660,0.105,0
2.503,0.065,0
1.849,0.063,0
2.222,0.067,0
2.686,0.239,-5
2.935,0.674,-5
2.382,0.165,-5
2.448,0.063,0
2.791,0.136,-5
2.499,0.071,0
2.104,0.168,0
2.395,0.074,0
2.522,0.064,0
2.827,0.073,0
2.560,0.129,0
2.533,0.072,0
1.889,0.231,0
2.768,0.087,0
2.905,0.647,-5
2.782,0.106,-5
2.657,0.094,-5
2.610,0.119,-5
2.741,0.088,0
2.707,0.104,0
1.689,0.065,0
2.499,0.089,0
2.621,0.098,-5
2.241,0.078,0
1.869,0.076,0
2.559,0.137,-5
2.782,0.084,0
2.719,0.151,0
2.833,0.071,0
2.631,0.173,0
2.739,0.074,0
2.929,0.098,0
2.418,0.107,0
2.187,0.065,0
2.690,0.126,-5
2.705,0.111,0
2.076,0.091,0
2.507,0.116,0
2.555,0.092,0
2.314,0.205,0
2.560,0.090,0
2.923,0.086,0
2.745,0.066,0
2.953,0.119,0
1.803,0.689,-5
2.680,0.191,0
2.887,0.148,0
2.294,0.489,-5
2.919,0.079,0
2.075,0.064,0
2.943,0.171,0
2.890,0.079,0
2.370,0.125,0
2.050,0.153,-5
2.688,0.085,0
2.526,0.088,0
0.880,0.134,0
2.984,0.707,-5
1.918,0.081,0
2.752,0.106,-5
2.711,0.130,-5
2.222,0.084,0
1.983,0.065,0
2.189,0.057,0
2.711,0.071,0
2.443,0.083,0
2.219,0.098,0
2.926,0.152,0
