T, time, status
2.451,0.073,0
3.079,0.566,-5
2.197,0.105,0
2.423,0.144,-5
2.777,0.104,0
2.528,0.087,0
2.436,0.112,0
2.858,0.146,-5
2.643,0.106,0
2.692,0.352,0
2.744,0.299,-5
2.252,0.131,0
2.682,0.314,0
2.171,0.132,0
2.722,0.112,0
2.596,0.290,-5
2.142,0.040,0
3.081,0.097,0
2.377,0.165,0
2.821,1.021,-5
2.555,0.158,-5
2.603,0.050,0
2.183,0.036,0
2.838,0.070,0
2.609,0.079,0
2.430,0.102,0
2.325,0.125,-5
2.564,0.084,0
2.287,0.105,0
2.345,0.165,0
2.167,0.119,0
2.163,0.108,0
2.809,0.252,-5
2.995,1.086,-5
2.147,0.087,0
2.382,0.183,0
2.168,0.165,0
2.426,0.177,0
1.580,0.350,-5
2.307,0.196,0
2.308,0.153,0
2.733,0.122,0
2.893,0.135,-5
2.550,0.171,-5
2.380,0.124,0
2.193,0.070,0
2.910,0.089,0
2.093,0.126,-5
2.201,0.113,0
2.196,0.120,0
2.909,0.349,-5
2.698,0.131,0
2.743,0.115,0
2.834,0.081,0
2.146,0.030,0
2.960,0.140,0
2.359,0.132,-5
1.973,0.079,0
2.945,0.246,-5
2.837,0.316,-5
2.834,0.075,0
2.815,0.161,0
2.823,0.314,-5
2.758,0.116,0
2.829,0.088,0
2.350,0.126,0
2.909,0.161,0
2.513,0.096,0
2.302,0.125,0
2.639,0.426,0
2.794,0.181,-5
1.315,0.075,0
2.490,0.087,0
2.867,0.127,0
2.634,0.109,0
2.744,0.114,0
2.784,0.160,0
2.064,0.099,0
2.768,0.118,0
2.493,0.107,0
2.958,0.130,0
2.191,0.053,0
2.254,0.065,0
2.348,0.113,0
2.685,0.093,0
1.843,0.104,0
2.140,0.101,0
3.001,0.135,0
2.613,0.127,0
2.254,0.149,-5
2.747,0.134,-5
1.481,0.084,0
2.566,0.191,-5
2.436,0.062,0
2.187,0.125,0
2.339,0.069,0
2.965,0.217,-5
2.591,0.188,-5
1.904,0.069,0
2.760,0.569,-5
2.843,0.176,-5
2.295,0.097,0
2.803,0.099,0
1.336,0.101,0
2.734,0.250,-5
1.729,0.066,0
2.844,0.152,0
2.971,0.111,0
2.801,0.150,-5
2.640,0.126,0
2.210,0.076,0
2.212,0.116,-5
2.331,0.178,-5
2.038,0.145,-5
2.241,0.098,0
2.762,0.094,0
2.799,0.305,0
2.438,0.099,0
2.861,0.135,-5
2.914,0.181,0
2.481,0.127,-5
2.478,0.114,0
1.182,0.071,0
2.568,0.116,0
2.723,0.328,-5
2.944,0.124,-5
2.402,0.086,0
1.877,0.131,0
1.221,0.140,0
1.857,0.227,-5
2.611,0.116,0
2.395,0.167,0
2.605,0.115,-5
1.933,0.108,0
1.797,0.088,0
2.694,0.078,0
2.610,0.103,0
1.956,0.081,0
2.526,0.178,-5
2.306,0.074,0
2.457,0.205,0
2.257,0.096,0
3.032,0.606,-5
2.559,0.066,0
2.348,0.100,0
2.674,0.133,0
1.880,0.145,0
2.174,0.133,0
2.608,0.146,-5
3.118,0.197,-5
1.901,0.109,0
2.846,0.170,0
2.782,0.103,0
2.493,0.090,0
2.469,0.093,0
2.329,0.074,0
2.744,0.123,-5
2.901,0.106,0
2.210,0.086,0
2.502,0.132,0
2.501,0.141,-5
1.665,0.095,0
2.132,0.070,0
2.778,0.258,-5
2.820,0.110,0
2.411,0.092,0
1.104,0.132,0
2.273,0.087,0
2.452,0.117,0
2.135,0.107,0
2.795,0.139,-5
2.900,0.134,0
1.908,0.139,-5
2.614,0.113,0
2.445,0.071,0
2.520,0.082,0
2.487,0.087,0
2.875,0.143,-5
1.403,0.092,0
2.637,0.071,0
2.442,0.061,0
2.772,0.190,0
1.638,0.095,0
2.701,0.092,0
2.921,0.128,0
1.641,0.089,0
2.521,0.089,0
2.574,0.123,-5
2.784,0.368,-5
2.471,0.467,0
2.030,0.071,0
2.780,0.116,0
2.822,0.088,0
2.347,0.108,0
2.813,0.139,-5
2.273,0.069,0
2.799,0.097,0
2.669,0.094,0
2.358,0.149,-5
2.919,0.138,0
2.125,0.075,0
2.337,0.101,0
2.137,0.073,0
2.638,0.083,0
2.693,0.149,-5
1.926,0.109,-5
2.415,0.177,-5
2.862,0.100,0
2.331,0.125,-5
2.252,0.107,0
3.169,0.102,0
2.706,0.067,0
2.349,0.104,0
1.967,0.113,-5
2.662,0.079,0
2.904,0.120,0
1.907,0.078,0
2.860,0.078,0
2.254,0.096,0
2.524,0.080,0
2.768,0.096,0
2.034,0.123,0
2.362,0.168,-5
2.401,0.081,0
1.010,0.100,0
3.061,0.191,-5
2.656,0.091,0
2.590,0.091,0
2.994,0.141,0
1.267,0.095,0
2.277,0.201,-5
1.592,0.107,0
2.648,0.098,0
2.709,0.270,-5
2.553,0.130,0
2.574,0.116,0
2.679,0.193,-5
2.132,0.103,0
2.600,0.087,0
2.693,0.087,0
2.337,0.114,0
2.958,0.175,-5
2.267,0.092,0
2.389,0.076,0
1.870,0.180,-5
2.846,0.141,0
1.812,0.072,0
2.707,0.185,0
2.536,0.072,0
2.792,0.103,0
2.894,0.100,0
2.889,0.095,0
2.876,0.116,0
2.216,0.076,0
2.393,0.193,0
2.722,0.154,-5
2.948,0.124,0
2.210,0.104,0
2.954,0.115,0
2.781,0.124,-5
1.535,0.086,0
2.916,0.184,0
2.966,0.178,0
2.357,0.112,0
2.651,0.123,-5
2.586,0.086,0
2.108,0.130,0
2.214,0.125,-5
2.697,0.091,0
1.756,0.119,-5
1.433,0.070,0
2.397,0.100,0
2.917,0.118,0
2.694,0.160,0
2.293,0.099,0
2.578,0.143,0
1.829,0.076,0
2.020,0.090,0
2.829,0.201,-5
2.225,0.085,0
2.703,0.088,0
2.671,0.086,0
2.946,0.105,0
2.203,0.054,0
2.623,0.165,0
2.064,0.146,-5
2.772,0.093,0
2.712,0.136,-5
2.253,0.071,0
2.169,0.104,0
2.896,0.091,0
2.703,0.143,-5
2.790,0.106,0
2.240,0.131,0
2.595,0.077,0
2.777,0.081,0
2.237,0.082,0
1.758,0.112,0
2.851,0.265,0
2.767,0.216,0
2.856,0.160,0
2.250,0.171,0
2.194,0.120,0
2.620,0.270,-5
2.800,0.136,0
2.134,0.072,0
2.435,0.144,0
2.960,0.231,0
1.639,0.118,0
2.498,0.130,0
2.725,0.165,0
2.899,0.150,-5
3.075,0.559,-5
1.723,0.132,0
1.906,0.182,0
2.304,0.128,0
2.228,0.083,0
2.438,0.176,0
2.772,0.125,0
2.509,0.089,0
2.921,0.116,0
2.308,0.135,-5
2.288,0.112,-5
2.934,0.137,0
2.266,0.088,0
2.938,0.453,-5
2.842,0.179,0
2.647,0.110,-5
2.392,0.109,0
2.638,0.132,0
2.367,0.167,-5
2.720,0.167,-5
2.216,0.087,0
2.027,0.116,-5
2.203,0.101,0
2.284,0.069,0
2.386,0.083,0
2.395,0.121,-5
2.621,0.084,0
2.690,0.083,0
2.507,0.081,0
1.953,0.075,0
2.677,0.089,0
2.288,0.107,-5
2.673,0.072,0
2.418,0.063,0
2.910,0.121,0
2.147,0.113,0
2.656,0.097,0
2.828,0.087,0
2.705,0.079,0
2.417,0.080,0
2.708,0.085,0
2.389,0.116,0
2.886,0.294,-5
2.347,0.107,0
2.459,0.125,0
2.886,0.275,-5
1.890,0.126,0
2.429,0.092,0
2.847,0.120,0
2.837,0.461,0
2.582,0.082,0
1.380,0.097,0
2.727,0.090,0
2.788,0.150,0
2.316,0.462,0
1.939,0.631,-5
1.993,0.094,-5
2.788,0.116,0
1.858,0.153,0
2.369,0.060,0
2.757,0.128,-5
2.435,0.121,0
2.901,0.528,0
2.097,0.233,-5
2.757,0.121,0
2.704,0.094,0
2.672,0.133,0
2.587,0.172,0
2.789,0.119,0
1.850,0.126,0
2.215,0.095,0
3.036,0.190,-5
2.208,0.311,-5
2.379,0.099,0
2.642,0.139,-5
2.830,0.159,-5
2.940,0.165,-5
2.321,0.065,0
2.793,0.126,0
2.804,0.257,-5
2.864,0.189,-5
2.688,0.157,-5
2.669,0.135,0
2.500,0.061,0
2.167,0.070,0
2.735,0.085,0
1.835,0.085,0
1.568,0.078,0
2.223,0.062,0
2.938,0.190,-5
2.442,0.204,-5
2.738,0.262,-5
2.675,0.091,0
2.494,0.087,0
2.935,0.133,0
2.582,0.098,0
1.169,0.097,0
2.236,0.135,-5
2.951,0.129,0
2.207,0.098,0
2.766,0.278,-5
2.025,0.154,0
2.649,0.099,0
2.383,0.100,0
1.911,0.475,-5
2.764,0.121,-5
2.744,0.170,-5
2.263,0.109,0
2.220,0.108,0
2.744,0.179,0
2.639,0.158,-5
2.195,0.108,0
2.616,0.091,0
2.262,0.113,-5
2.690,0.150,-5
2.462,0.107,0
2.256,0.106,0
2.499,0.132,0
2.149,0.098,0
2.189,0.085,0
2.918,0.204,-5
2.658,0.083,0
2.780,0.146,-5
2.813,0.184,0
2.192,0.077,0
2.814,0.058,0
2.217,0.142,-5
2.151,0.084,0
1.866,0.079,0
2.836,0.131,-5
2.775,0.114,0
2.488,0.146,0
1.736,0.075,0
2.386,0.086,0
2.033,0.084,0
2.026,0.109,0
2.485,0.077,0
2.367,0.222,-5
2.198,0.079,0
2.488,0.082,0
2.285,0.093,0
2.753,0.339,-5
2.525,0.088,0
2.371,0.077,0
2.125,0.113,0
2.386,0.083,0
2.803,0.097,0
2.032,0.087,0
2.674,0.091,0
2.793,0.085,0
2.492,0.089,0
2.233,0.116,-5
2.845,0.091,0
2.337,0.153,0
2.552,0.270,0
2.234,0.475,-5
2.563,0.108,-5
2.571,0.085,0
2.549,0.091,0
2.924,1.203,-5
2.882,0.169,0
1.507,0.105,0
2.555,0.123,-5
2.042,0.095,0
2.469,0.103,0
2.730,0.180,0
3.082,0.495,-5
2.697,0.075,0
2.814,0.102,0
2.582,0.064,0
2.180,0.104,0
2.615,0.092,0
2.870,0.081,0
2.649,0.123,-5
1.897,0.094,0
2.713,0.091,0
2.246,0.087,0
2.845,0.197,-5
2.206,0.183,0
2.427,0.109,0
2.794,0.130,0
2.132,0.172,-5
2.556,0.072,0
2.751,0.100,0
2.370,0.074,0
2.384,0.141,0
2.177,0.063,0
2.220,0.076,0
