T, time, status
2.438,0.960,0
2.861,1.582,1
2.928,4.494,-2
2.495,4.516,-4
2.492,4.647,-4
1.182,0.872,0
2.568,1.342,1
2.723,2.364,1
2.957,14.097,-2
2.401,1.615,0
1.877,1.231,1
1.228,2.313,-4
1.857,0.938,1
2.610,1.451,1
2.394,1.437,1
2.605,5.278,1
1.933,0.881,1
1.797,1.988,1
2.694,1.251,1
2.610,1.213,1
1.956,1.734,0
2.526,0.956,1
2.306,1.828,1
2.457,3.799,1
2.257,1.102,1
3.032,1.985,1
2.551,1.245,0
2.348,1.114,0
2.674,4.247,0
1.881,2.615,1
2.174,1.069,1
2.608,1.396,1
3.112,1.922,0
1.900,1.594,0
2.846,1.487,0
2.782,1.140,1
2.493,1.207,1
2.468,1.393,1
2.329,0.934,0
2.744,0.949,1
2.900,1.542,1
2.210,1.096,0
2.502,1.280,1
2.501,7.285,1
1.665,1.676,1
2.132,1.365,1
2.778,10.098,1
2.820,1.482,1
2.411,2.343,1
1.104,1.353,1
2.273,1.769,1
2.451,3.775,1
2.148,2.923,-4
2.795,1.378,1
2.900,1.569,1
1.908,1.627,1
2.614,1.103,1
2.445,1.127,1
2.520,1.066,0
2.487,1.159,1
2.898,7.169,-4
1.411,14.670,-4
2.637,1.101,0
2.442,0.930,0
2.772,1.411,1
1.638,1.316,1
2.701,0.948,0
2.921,1.349,1
1.641,3.272,1
2.521,1.567,1
2.574,4.173,1
2.784,4.859,1
2.497,14.608,-4
2.030,1.570,1
2.780,2.280,0
2.822,1.329,1
2.346,1.402,0
2.833,9.682,-2
2.273,1.336,0
2.798,1.289,1
2.669,1.205,1
2.358,1.042,1
2.919,1.120,1
2.136,3.511,-4
2.336,1.517,1
2.143,1.703,1
2.638,0.972,0
2.693,1.176,1
1.926,1.728,1
2.415,1.744,1
2.862,1.989,1
2.341,6.710,-4
2.263,4.738,-4
3.169,2.266,1
2.727,7.711,-4
2.349,1.058,1
1.978,11.022,-4
2.678,4.528,-2
2.919,10.284,-2
1.906,1.524,1
2.860,1.697,1
2.254,1.324,1
2.524,1.161,0
2.785,7.261,-2
2.045,3.051,-2
2.372,5.286,-2
2.401,1.029,1
1.010,1.519,1
3.061,1.255,1
2.656,1.164,1
2.590,1.195,1
3.014,4.832,-2
1.275,5.626,-4
2.288,3.622,-4
1.592,1.702,1
2.647,3.095,0
2.724,7.095,-4
2.553,0.881,0
2.574,1.294,1
2.692,10.025,-4
2.132,4.877,0
2.600,1.370,1
2.693,1.206,1
2.337,0.915,1
2.957,1.216,0
2.267,4.982,1
2.388,1.699,1
1.870,1.401,1
2.846,1.928,0
1.812,1.770,0
2.721,9.966,-4
2.536,1.089,1
2.792,1.376,1
2.889,0.944,0
2.888,1.236,1
2.876,1.661,1
2.216,1.321,1
2.402,1.140,1
2.722,20.126,1
2.947,1.669,1
2.221,1.911,-4
2.954,1.157,1
2.798,6.102,-4
1.535,3.787,1
2.916,1.511,1
2.966,1.582,1
2.357,1.228,1
2.668,6.827,-2
2.585,1.591,1
2.108,5.841,0
2.214,1.172,1
2.697,1.421,0
1.765,5.322,-4
1.433,1.976,0
2.397,2.471,0
2.916,2.274,1
2.709,6.190,-2
2.293,0.922,0
2.578,1.195,0
1.829,2.930,0
2.020,1.111,1
2.844,5.475,-2
2.225,2.055,1
2.702,1.305,1
2.670,2.287,0
2.967,6.612,-2
2.203,1.046,0
2.623,1.049,1
2.077,3.888,-2
2.772,1.369,1
2.722,11.870,-2
2.253,1.058,0
2.169,1.220,1
2.896,1.102,0
2.718,3.437,-2
2.790,1.539,1
2.240,1.743,1
2.594,1.300,1
2.777,1.034,0
2.237,1.161,1
1.758,1.194,1
2.850,1.269,0
2.767,1.147,1
2.866,1.391,0
2.261,6.212,-4
2.194,1.283,1
2.620,1.360,1
2.799,1.270,1
2.134,1.562,1
2.434,1.640,1
2.960,2.108,1
1.639,2.196,1
2.498,14.113,1
2.724,1.218,1
2.912,9.873,-4
3.075,1.547,1
1.723,1.422,1
1.906,1.886,1
2.303,1.114,1
2.228,1.174,1
2.438,1.590,1
2.772,1.094,1
2.509,1.208,1
2.936,11.712,-4
2.308,2.304,1
2.300,9.353,-4
2.939,14.712,-2
2.266,1.225,1
2.956,6.790,-2
2.841,1.092,1
2.660,5.814,-2
2.392,1.368,1
2.653,5.982,-2
2.380,3.335,-2
2.720,3.626,0
2.227,2.523,-2
2.027,1.949,1
2.203,1.185,1
2.284,1.270,0
2.386,1.684,1
2.408,6.298,-2
2.621,0.885,0
2.704,4.425,-2
2.507,1.001,1
1.953,1.713,1
2.677,1.446,1
2.300,4.628,-2
2.673,1.633,1
2.417,1.917,1
2.910,1.480,1
2.147,1.827,1
2.656,0.840,0
2.846,6.438,-2
2.705,1.061,1
2.417,0.985,0
2.708,0.981,1
2.389,1.067,1
2.900,12.518,-4
2.347,1.456,1
2.459,1.217,0
2.898,7.337,-2
1.890,0.976,1
2.429,1.517,1
2.838,1.471,1
2.837,3.330,1
2.581,1.233,1
1.379,1.909,1
2.727,0.892,0
2.804,4.104,-2
2.331,6.532,-2
1.948,4.982,-4
1.992,1.430,1
2.788,1.077,1
1.857,4.203,1
2.368,0.879,0
2.757,1.143,0
2.434,1.402,1
2.900,1.898,0
2.110,8.939,-2
2.774,9.594,-2
2.704,1.286,1
2.672,1.050,0
2.587,1.432,1
2.789,1.127,1
1.850,3.593,1
2.225,5.894,-4
3.035,1.737,1
2.227,10.647,-4
2.379,1.148,1
2.642,3.907,0
2.847,11.593,-2
2.959,4.830,-2
2.321,0.953,0
2.793,1.062,1
2.804,3.195,1
2.881,4.431,-2
2.699,7.999,-2
2.669,0.739,0
2.499,1.062,1
2.178,2.581,-4
2.735,1.237,0
1.834,1.706,1
1.568,1.613,0
2.223,1.252,0
2.957,9.183,-2
2.455,5.873,-2
2.734,1.061,0
2.687,9.362,-4
2.494,1.443,1
2.934,1.223,1
2.581,1.383,1
1.169,1.891,1
2.236,1.144,1
2.951,1.735,1
2.207,1.253,1
2.779,7.528,-2
2.024,1.890,1
2.649,1.528,1
2.383,0.814,0
1.911,23.610,-3
2.764,1.165,1
2.744,1.142,1
2.263,1.002,0
2.220,0.953,0
2.760,5.351,-4
2.639,1.395,1
2.195,1.184,1
2.631,13.293,-2
2.274,4.819,-2
2.690,1.299,1
2.462,1.303,0
2.256,1.052,0
2.498,1.273,0
2.149,1.246,1
2.189,1.158,1
2.934,7.656,-4
2.658,1.255,1
2.795,18.587,-4
2.831,2.816,-2
2.192,1.519,1
2.814,1.286,0
2.238,10.370,-2
2.151,1.484,1
1.866,1.848,1
2.836,3.006,1
2.775,1.649,0
2.488,1.244,1
1.736,2.388,1
2.386,1.147,0
2.033,2.543,1
2.026,1.663,0
2.497,1.431,1
2.379,4.282,-4
2.198,1.369,0
2.488,1.162,1
2.285,1.301,1
2.763,5.634,-2
2.525,1.606,1
2.371,1.584,1
2.125,1.335,1
2.386,1.086,1
2.803,1.467,1
2.032,1.738,1
2.674,1.497,0
2.808,6.778,-2
2.491,1.151,0
2.233,2.259,1
2.845,2.502,1
2.327,1.253,1
2.551,1.316,1
2.245,2.840,-2
2.563,1.277,1
2.571,1.428,0
2.548,1.390,1
2.940,7.010,-2
2.882,0.911,1
1.507,2.397,1
2.555,1.284,1
2.042,1.314,1
2.469,1.477,1
2.730,1.080,1
3.078,2.202,0
2.697,2.044,1
2.814,1.261,1
2.582,1.046,0
2.180,0.922,0
2.615,1.719,1
2.870,1.050,0
2.663,7.151,-2
