T, time, time_on_pso, time_on_solver, status
2.855,0.386,0.090,0.296,0
2.831,0.213,0.087,0.126,-5
2.251,0.131,0.087,0.044,0
2.873,0.118,0.088,0.030,0
2.540,0.353,0.091,0.262,-5
1.835,0.125,0.090,0.035,0
2.556,0.136,0.089,0.047,0
2.709,0.138,0.089,0.049,0
2.955,0.308,0.090,0.218,-5
2.132,0.327,0.087,0.240,-5
2.247,0.121,0.086,0.035,0
2.651,0.129,0.088,0.041,0
2.313,0.167,0.085,0.082,0
2.243,0.217,0.087,0.130,0
2.581,0.136,0.086,0.050,0
2.154,0.203,0.090,0.113,-5
2.902,0.163,0.088,0.075,-5
2.404,0.128,0.089,0.039,0
2.263,0.129,0.088,0.041,0
2.385,0.147,0.109,0.038,0
2.716,0.228,0.089,0.139,-5
2.709,0.124,0.088,0.036,0
2.508,0.123,0.089,0.034,0
2.493,0.148,0.093,0.055,0
2.563,0.120,0.091,0.029,0
2.226,0.122,0.088,0.034,0
1.993,0.129,0.091,0.038,0
2.362,0.133,0.092,0.041,0
2.780,0.135,0.090,0.045,0
1.468,0.135,0.088,0.047,0
1.471,0.133,0.084,0.049,0
2.215,0.133,0.087,0.046,0
2.302,0.130,0.088,0.042,0
2.655,0.127,0.088,0.039,0
2.749,0.145,0.090,0.055,0
2.196,0.121,0.090,0.031,0
1.823,0.121,0.086,0.035,0
2.036,0.124,0.089,0.035,0
2.440,0.181,0.086,0.095,-5
2.863,0.125,0.091,0.034,0
2.818,0.371,0.087,0.284,0
2.710,0.142,0.095,0.047,0
2.524,0.144,0.093,0.051,0
2.820,0.151,0.091,0.060,0
2.382,0.124,0.090,0.034,0
2.456,0.111,0.084,0.027,0
1.274,0.112,0.085,0.027,0
2.749,0.249,0.084,0.165,0
2.698,0.113,0.087,0.026,0
2.563,0.106,0.084,0.022,0
2.766,0.142,0.082,0.060,0
2.787,0.159,0.086,0.073,-5
2.188,0.114,0.086,0.028,0
2.681,0.109,0.086,0.023,0
2.552,0.227,0.082,0.145,-5
1.414,0.111,0.085,0.026,0
1.855,0.103,0.082,0.021,0
2.592,0.220,0.084,0.136,-5
2.792,0.108,0.082,0.026,0
2.360,0.114,0.086,0.028,0
2.478,0.112,0.085,0.027,0
2.431,0.115,0.082,0.033,0
2.710,0.167,0.085,0.082,-5
2.439,0.143,0.087,0.056,0
2.830,0.135,0.088,0.047,0
2.428,0.452,0.086,0.366,-5
2.455,0.157,0.091,0.066,0
1.515,0.129,0.089,0.040,0
2.311,0.121,0.088,0.033,0
2.406,0.142,0.086,0.056,0
2.339,0.747,0.087,0.660,-5
2.268,0.115,0.089,0.026,0
2.087,0.114,0.085,0.029,0
2.930,0.117,0.085,0.032,0
2.300,0.120,0.087,0.033,0
2.054,0.120,0.088,0.032,0
2.840,0.306,0.084,0.222,-5
1.311,0.162,0.091,0.071,0
1.745,0.143,0.093,0.050,0
2.845,0.143,0.087,0.056,0
2.351,0.144,0.088,0.056,0
2.961,0.779,0.091,0.688,-5
2.877,0.121,0.085,0.036,0
2.403,0.113,0.086,0.027,0
2.288,0.132,0.085,0.047,0
2.087,0.132,0.088,0.044,0
2.997,0.157,0.090,0.067,0
2.208,0.117,0.091,0.026,0
2.365,0.110,0.087,0.023,0
2.201,0.117,0.085,0.032,0
2.792,0.119,0.087,0.032,0
2.629,0.146,0.089,0.057,0
2.499,0.144,0.085,0.059,0
2.813,0.117,0.084,0.033,0
2.845,0.105,0.083,0.022,0
2.858,0.122,0.088,0.034,0
1.882,0.124,0.088,0.036,0
1.923,0.125,0.087,0.038,0
2.476,0.120,0.088,0.032,0
2.877,0.108,0.085,0.023,0
2.918,0.124,0.085,0.039,0
2.073,0.120,0.085,0.035,0
2.627,0.108,0.084,0.024,0
2.289,0.105,0.084,0.021,0
3.157,0.118,0.085,0.033,0
2.775,0.108,0.084,0.024,0
2.404,0.114,0.087,0.027,0
2.694,0.257,0.083,0.174,-5
2.304,0.113,0.084,0.029,0
2.533,0.211,0.084,0.127,0
2.542,0.102,0.082,0.020,0
2.146,0.108,0.081,0.027,0
1.868,0.123,0.085,0.038,0
2.908,0.750,0.088,0.662,-5
2.352,0.164,0.087,0.077,0
3.126,0.125,0.082,0.043,0
2.475,0.126,0.086,0.040,0
2.913,0.114,0.084,0.030,0
2.901,0.174,0.089,0.085,0
2.763,0.163,0.092,0.071,0
2.682,0.202,0.095,0.107,0
2.933,0.271,0.084,0.187,-5
2.064,0.108,0.084,0.024,0
2.877,0.117,0.084,0.033,0
2.650,0.158,0.089,0.069,0
2.938,0.834,0.089,0.745,-5
2.481,0.494,0.087,0.407,-5
2.672,0.120,0.085,0.035,0
2.152,0.116,0.084,0.032,0
2.541,0.256,0.082,0.174,-5
2.616,0.165,0.089,0.076,0
1.825,0.117,0.088,0.029,0
2.731,0.117,0.082,0.035,0
2.753,0.272,0.083,0.189,-5
2.546,0.123,0.085,0.038,0
3.116,0.409,0.084,0.325,-5
2.052,0.119,0.089,0.030,0
2.391,0.114,0.084,0.030,0
2.796,0.174,0.084,0.090,0
2.928,0.126,0.087,0.039,0
2.903,0.117,0.086,0.031,0
2.598,0.118,0.083,0.035,0
2.568,0.116,0.086,0.030,0
2.928,0.127,0.085,0.042,0
2.668,0.154,0.084,0.070,-5
2.272,0.110,0.082,0.028,0
2.356,0.262,0.083,0.179,0
2.436,0.118,0.085,0.033,0
2.735,0.147,0.082,0.065,0
2.442,0.152,0.088,0.064,0
2.265,0.138,0.088,0.050,0
2.563,0.125,0.084,0.041,0
2.301,0.119,0.082,0.037,0
2.860,0.173,0.088,0.085,0
2.278,0.111,0.085,0.026,0
2.837,0.106,0.082,0.024,0
2.731,0.175,0.086,0.089,-5
2.376,0.173,0.087,0.086,0
2.468,0.112,0.087,0.025,0
2.884,0.846,0.083,0.763,-5
2.503,0.126,0.090,0.036,0
2.897,0.124,0.086,0.038,0
2.958,0.419,0.087,0.332,-5
2.709,0.109,0.086,0.023,0
2.451,0.161,0.087,0.074,0
3.079,0.267,0.090,0.177,-5
2.197,0.116,0.085,0.031,0
2.423,0.160,0.085,0.075,-5
2.777,0.127,0.085,0.042,0
2.528,0.127,0.086,0.041,0
2.436,0.136,0.086,0.050,0
2.858,0.250,0.082,0.168,-5
2.643,0.197,0.089,0.108,0
2.692,0.118,0.088,0.030,0
2.744,0.130,0.083,0.047,-5
2.252,0.106,0.082,0.024,0
2.682,0.113,0.081,0.032,0
2.171,0.133,0.087,0.046,0
2.722,0.151,0.088,0.063,0
2.596,0.120,0.083,0.037,0
2.142,0.126,0.082,0.044,0
3.081,0.136,0.082,0.054,0
2.377,0.161,0.094,0.067,0
2.821,0.224,0.089,0.135,-5
2.555,0.228,0.083,0.145,-5
2.603,0.119,0.087,0.032,0
2.183,0.106,0.084,0.022,0
2.838,0.129,0.084,0.045,0
2.609,0.115,0.082,0.033,0
2.430,0.145,0.086,0.059,0
2.325,0.221,0.089,0.132,-5
2.564,0.108,0.087,0.021,0
2.287,0.115,0.084,0.031,0
2.345,0.156,0.083,0.073,0
2.167,0.167,0.091,0.076,0
2.163,0.119,0.087,0.032,0
2.809,0.168,0.085,0.083,-5
2.995,0.912,0.085,0.827,-5
2.147,0.114,0.085,0.029,0
2.382,0.111,0.083,0.028,0
2.168,0.170,0.087,0.083,0
2.426,0.141,0.089,0.052,0
1.580,0.194,0.084,0.110,0
2.307,0.114,0.085,0.029,0
2.308,0.115,0.082,0.033,0
2.733,0.120,0.083,0.037,0
2.893,0.148,0.084,0.064,-5
2.550,0.142,0.082,0.060,-5
2.380,0.120,0.086,0.034,0
2.193,0.155,0.088,0.067,0
2.910,1.059,0.153,0.906,-5
2.093,0.234,0.086,0.148,0
2.201,0.192,0.089,0.103,0
2.196,0.252,0.091,0.161,-5
2.909,0.214,0.084,0.130,-5
2.698,0.121,0.082,0.039,0
2.743,0.130,0.083,0.047,0
2.834,0.174,0.094,0.080,0
2.146,0.113,0.089,0.024,0
2.960,0.114,0.083,0.031,0
2.359,0.165,0.084,0.081,-5
1.973,0.126,0.087,0.039,0
2.945,0.281,0.087,0.194,0
2.837,0.272,0.092,0.180,0
2.834,0.122,0.085,0.037,0
2.815,0.122,0.094,0.028,0
2.823,0.347,0.093,0.254,-5
2.758,0.105,0.083,0.022,0
2.829,0.112,0.082,0.030,0
2.350,0.112,0.082,0.030,0
2.909,0.127,0.082,0.045,0
2.513,0.114,0.082,0.032,0
2.302,0.108,0.081,0.027,0
2.639,0.233,0.084,0.149,-5
2.794,0.119,0.083,0.036,0
1.315,0.116,0.084,0.032,0
2.490,0.111,0.083,0.028,0
2.867,0.107,0.082,0.025,0
2.634,0.115,0.082,0.033,0
2.744,0.361,0.082,0.279,0
2.784,0.107,0.082,0.025,0
2.064,0.120,0.085,0.035,0
2.768,0.334,0.083,0.251,-5
2.493,0.121,0.092,0.029,0
2.958,0.775,0.083,0.692,-5
2.191,0.106,0.084,0.022,0
2.254,0.127,0.086,0.041,0
2.348,0.160,0.090,0.070,0
2.685,0.145,0.102,0.043,0
1.843,0.123,0.089,0.034,0
2.140,0.115,0.085,0.030,0
3.001,0.214,0.086,0.128,0
2.613,0.210,0.097,0.113,0
2.254,0.125,0.088,0.037,0
2.747,0.292,0.084,0.208,-5
1.481,0.137,0.084,0.053,0
2.566,0.240,0.090,0.150,-5
2.436,0.111,0.084,0.027,0
2.187,0.130,0.086,0.044,0
2.339,0.117,0.084,0.033,0
2.965,0.153,0.086,0.067,-5
2.591,0.152,0.085,0.067,0
1.904,0.105,0.084,0.021,0
2.760,0.126,0.086,0.040,0
2.843,0.249,0.086,0.163,-5
2.295,0.120,0.087,0.033,0
2.803,0.107,0.084,0.023,0
1.336,0.241,0.086,0.155,-5
2.734,0.159,0.086,0.073,-5
1.729,0.118,0.088,0.030,0
2.844,0.129,0.084,0.045,0
2.971,0.137,0.085,0.052,0
2.801,0.138,0.085,0.053,0
2.640,0.107,0.083,0.024,0
2.210,0.114,0.082,0.032,0
2.212,0.219,0.085,0.134,-5
2.331,0.203,0.084,0.119,-5
2.038,0.119,0.086,0.033,0
2.241,0.120,0.084,0.036,0
2.762,0.120,0.087,0.033,0
2.799,0.119,0.085,0.034,0
2.438,0.115,0.086,0.029,0
2.861,0.116,0.085,0.031,0
2.914,0.212,0.082,0.130,-5
2.481,0.119,0.086,0.033,0
2.478,0.117,0.086,0.031,0
1.182,0.109,0.082,0.027,0
2.568,0.102,0.083,0.019,0
2.723,0.158,0.082,0.076,-5
2.944,0.184,0.084,0.100,-5
2.402,0.112,0.084,0.028,0
1.877,0.108,0.082,0.026,0
1.221,0.116,0.085,0.031,0
1.857,0.123,0.083,0.040,0
2.611,0.113,0.083,0.030,0
2.395,0.121,0.084,0.037,0
2.605,0.143,0.085,0.058,-5
1.933,0.119,0.085,0.034,0
1.797,0.118,0.084,0.034,0
2.694,0.113,0.081,0.032,0
2.610,0.129,0.083,0.046,0
1.956,0.105,0.082,0.023,0
2.526,0.111,0.084,0.027,0
2.306,0.112,0.083,0.029,0
2.457,0.244,0.083,0.161,0
2.257,0.105,0.084,0.021,0
