T, time, time_on_pso, time_on_solver, status
4.379,1.126,0.070,1.056,-5
3.301,0.890,0.068,0.822,-5
2.802,0.329,0.071,0.258,-5
3.358,0.154,0.072,0.082,-5
3.920,0.829,0.071,0.758,-5
3.387,0.142,0.073,0.069,0
3.382,1.409,0.070,1.339,-5
3.656,1.161,0.074,1.087,-5
3.448,0.168,0.073,0.095,0
2.765,0.866,0.067,0.799,-5
3.649,0.901,0.081,0.820,-5
3.868,0.904,0.067,0.837,-5
3.256,0.434,0.066,0.368,-5
3.672,1.062,0.066,0.996,-5
7.317,0.824,0.068,0.756,-5
3.575,0.134,0.076,0.058,0
2.874,0.141,0.073,0.068,0
4.022,1.140,0.071,1.069,-5
3.354,0.110,0.068,0.042,-5
3.490,1.183,0.068,1.115,-5
2.850,0.094,0.069,0.025,0
3.713,1.026,0.068,0.958,-5
3.929,1.342,0.069,1.273,-5
3.696,0.729,0.069,0.660,-5
2.061,0.519,0.074,0.445,-5
7.390,0.148,0.067,0.081,-5
3.940,0.808,0.069,0.739,-5
3.215,0.863,0.069,0.794,-5
3.828,1.053,0.069,0.984,-5
3.602,0.118,0.069,0.049,-5
3.308,0.161,0.068,0.093,0
3.904,0.755,0.068,0.687,-5
3.261,0.114,0.069,0.045,0
3.575,1.011,0.068,0.943,-5
3.556,0.711,0.068,0.643,-5
3.744,0.124,0.069,0.055,-5
3.270,0.110,0.068,0.042,0
2.901,0.839,0.068,0.771,-5
3.611,0.116,0.069,0.047,0
4.127,1.127,0.068,1.059,-5
3.961,0.882,0.068,0.814,-5
3.846,1.007,0.068,0.939,-5
3.755,0.958,0.069,0.889,-5
3.053,0.939,0.068,0.871,-5
3.699,0.202,0.071,0.131,0
3.351,0.142,0.076,0.066,0
3.527,1.103,0.076,1.027,-5
4.120,1.237,0.071,1.166,-5
3.822,0.182,0.072,0.110,-5
3.366,0.169,0.070,0.099,0
3.497,0.135,0.072,0.063,0
3.063,0.117,0.068,0.049,0
3.310,0.131,0.068,0.063,0
3.823,1.030,0.071,0.959,-5
2.769,0.106,0.069,0.037,0
2.817,0.250,0.069,0.181,-5
3.600,0.127,0.068,0.059,-5
4.255,1.025,0.068,0.957,-5
3.705,0.977,0.071,0.906,-5
4.112,1.087,0.068,1.019,-5
6.065,0.436,0.069,0.367,-5
3.898,0.120,0.070,0.050,0
3.419,1.144,0.070,1.074,-5
2.254,0.111,0.069,0.042,0
3.559,1.048,0.068,0.980,-5
2.431,0.119,0.070,0.049,0
4.371,0.147,0.072,0.075,0
3.429,0.368,0.073,0.295,-5
6.111,0.241,0.068,0.173,-5
3.630,0.119,0.070,0.049,-5
3.157,0.878,0.068,0.810,-5
4.199,0.150,0.069,0.081,0
3.727,0.441,0.068,0.373,0
3.608,0.182,0.068,0.114,0
3.783,0.982,0.073,0.909,-5
3.661,0.132,0.070,0.062,0
3.109,0.122,0.068,0.054,0
2.948,0.727,0.069,0.658,-5
3.860,0.171,0.099,0.072,0
2.932,0.097,0.070,0.027,0
3.746,0.925,0.071,0.854,-5
4.346,0.910,0.069,0.841,-5
2.380,0.367,0.074,0.293,0
2.876,0.104,0.068,0.036,0
3.325,0.907,0.069,0.838,-5
3.439,0.144,0.070,0.074,-5
3.355,0.170,0.068,0.102,-5
3.503,0.505,0.068,0.437,-5
3.564,1.038,0.068,0.970,-5
7.302,1.093,0.068,1.025,-5
2.909,0.936,0.070,0.866,-5
3.119,0.864,0.069,0.795,-5
3.774,0.138,0.070,0.068,-5
4.380,1.051,0.070,0.981,-5
3.747,0.142,0.075,0.067,0
2.470,0.147,0.070,0.077,0
4.192,1.042,0.073,0.969,-5
3.757,1.210,0.070,1.140,-5
2.349,0.109,0.070,0.039,0
3.601,0.121,0.070,0.051,0
3.327,0.110,0.070,0.040,0
2.706,0.114,0.070,0.044,0
4.600,1.384,0.069,1.315,-5
3.436,0.981,0.070,0.911,-5
3.866,1.361,0.069,1.292,-5
4.512,1.089,0.070,1.019,-5
3.587,0.152,0.078,0.074,0
4.022,1.244,0.071,1.173,-5
3.731,0.151,0.076,0.075,0
2.698,0.137,0.071,0.066,0
3.292,0.996,0.070,0.926,-5
4.294,1.379,0.073,1.306,-5
4.077,1.345,0.075,1.270,-5
3.171,0.196,0.078,0.118,0
7.376,1.201,0.069,1.132,-5
5.250,1.031,0.069,0.962,-5
3.474,0.126,0.072,0.054,0
2.969,0.486,0.067,0.419,0
3.423,0.407,0.072,0.335,-5
3.850,0.858,0.070,0.788,-5
3.730,1.061,0.071,0.990,-5
3.307,0.150,0.075,0.075,-5
2.815,0.117,0.071,0.046,0
3.389,0.120,0.070,0.050,-5
3.461,0.913,0.070,0.843,-5
3.933,1.004,0.070,0.934,-5
2.839,0.128,0.072,0.056,0
3.393,0.118,0.069,0.049,0
2.414,0.113,0.069,0.044,0
1.956,0.108,0.068,0.040,0
3.203,0.111,0.068,0.043,0
4.202,1.236,0.072,1.164,-5
3.476,1.042,0.074,0.968,-5
3.186,0.113,0.069,0.044,-5
3.571,0.115,0.069,0.046,0
3.682,1.113,0.071,1.042,-5
