T, time, time_on_pso, time_on_solver, status
3.238,1.233,0.076,1.157,-5
2.730,0.896,0.077,0.819,-5
3.459,0.821,0.076,0.745,-5
3.550,1.400,0.076,1.324,-5
3.979,1.275,0.078,1.197,-5
3.540,1.116,0.083,1.033,-5
4.495,1.192,0.076,1.116,-5
2.638,0.145,0.082,0.063,0
3.620,0.118,0.076,0.042,0
3.252,0.217,0.078,0.139,-5
3.901,0.910,0.075,0.835,-5
3.117,0.113,0.077,0.036,0
3.549,0.499,0.076,0.423,-5
3.501,1.194,0.086,1.108,-5
3.331,0.125,0.077,0.048,0
3.741,0.173,0.076,0.097,-5
3.860,1.159,0.077,1.082,-5
3.425,0.940,0.076,0.864,-5
3.385,0.230,0.077,0.153,-5
3.195,0.362,0.077,0.285,0
4.653,1.330,0.076,1.254,-5
3.395,1.053,0.085,0.968,-5
3.379,0.892,0.077,0.815,-5
4.012,0.870,0.077,0.793,-5
4.529,1.296,0.076,1.220,-5
3.315,1.292,0.084,1.208,-5
3.679,0.960,0.076,0.884,-5
3.324,0.962,0.077,0.885,-5
3.703,0.961,0.082,0.879,-5
2.452,0.115,0.076,0.039,0
3.682,1.016,0.075,0.941,-5
3.566,1.134,0.075,1.059,-5
3.265,0.140,0.076,0.064,0
3.611,0.879,0.075,0.804,-5
3.161,0.121,0.075,0.046,0
3.633,1.182,0.075,1.107,-5
1.947,0.114,0.076,0.038,0
3.425,0.876,0.075,0.801,-5
3.698,0.124,0.075,0.049,0
3.784,0.811,0.076,0.735,-5
3.231,1.012,0.077,0.935,-5
4.217,1.320,0.079,1.241,-5
3.616,0.129,0.077,0.052,-5
3.040,0.223,0.078,0.145,0
2.035,0.119,0.076,0.043,0
2.980,1.302,0.092,1.210,-5
2.656,1.019,0.077,0.942,-5
2.454,0.205,0.089,0.116,0
3.540,0.886,0.090,0.796,-5
3.338,0.120,0.081,0.039,-5
4.372,1.343,0.077,1.266,-5
3.404,0.128,0.079,0.049,0
3.449,0.218,0.077,0.141,0
2.889,0.122,0.076,0.046,0
2.943,0.947,0.078,0.869,-5
2.997,0.120,0.076,0.044,0
2.768,0.134,0.076,0.058,0
4.021,1.181,0.075,1.106,-5
2.669,0.115,0.076,0.039,0
4.138,0.981,0.076,0.905,-5
3.364,1.062,0.075,0.987,-5
3.020,0.962,0.077,0.885,-5
3.273,0.133,0.081,0.052,-5
3.369,0.932,0.075,0.857,-5
3.907,1.513,0.076,1.437,-5
3.697,0.978,0.076,0.902,-5
3.693,0.148,0.082,0.066,-5
3.416,0.136,0.076,0.060,0
4.492,1.164,0.076,1.088,-5
3.295,0.202,0.084,0.118,-5
3.808,0.906,0.087,0.819,-5
2.786,0.527,0.076,0.451,-5
3.108,1.052,0.076,0.976,-5
3.558,0.150,0.075,0.075,0
3.834,0.874,0.079,0.795,-5
3.896,1.062,0.075,0.987,-5
3.571,1.166,0.076,1.090,-5
3.320,1.164,0.075,1.089,-5
3.767,0.112,0.076,0.036,0
4.280,0.921,0.076,0.845,-5
3.868,1.043,0.076,0.967,-5
3.134,0.113,0.075,0.038,0
3.071,0.259,0.075,0.184,-5
3.154,0.797,0.076,0.721,-5
3.494,0.117,0.076,0.041,0
3.262,0.239,0.076,0.163,-5
3.390,0.974,0.077,0.897,-5
4.119,0.134,0.077,0.057,0
4.258,0.124,0.076,0.048,0
4.099,0.748,0.077,0.671,-5
2.928,1.057,0.080,0.977,-5
3.522,1.207,0.076,1.131,-5
3.520,0.932,0.077,0.855,-5
3.791,0.123,0.078,0.045,-5
3.079,1.544,0.095,1.449,-5
4.149,1.184,0.076,1.108,-5
4.118,1.382,0.077,1.305,-5
3.843,1.159,0.078,1.081,-5
3.447,0.136,0.087,0.049,0
3.342,0.956,0.076,0.880,-5
2.797,0.194,0.077,0.117,0
3.839,1.158,0.078,1.080,-5
3.319,0.114,0.082,0.032,0
3.339,0.115,0.077,0.038,0
3.260,0.182,0.076,0.106,-5
3.136,1.044,0.075,0.969,-5
2.122,0.247,0.078,0.169,0
3.337,0.963,0.081,0.882,-5
3.284,1.140,0.085,1.055,-5
3.338,0.116,0.076,0.040,-5
4.218,1.184,0.076,1.108,-5
3.663,1.652,0.076,1.576,-5
4.545,1.352,0.084,1.268,-5
3.309,0.409,0.076,0.333,-5
3.961,1.363,0.076,1.287,-5
2.839,0.345,0.077,0.268,0
3.392,1.013,0.076,0.937,-5
3.641,0.304,0.076,0.228,0
3.308,1.265,0.080,1.185,-5
3.940,1.090,0.076,1.014,-5
3.146,0.119,0.078,0.041,0
3.863,0.163,0.081,0.082,0
4.052,1.246,0.077,1.169,-5
4.048,0.747,0.082,0.665,-5
3.355,0.150,0.081,0.069,0
3.227,0.165,0.082,0.083,0
2.891,0.396,0.090,0.306,-5
2.888,0.168,0.082,0.086,0
3.973,1.275,0.077,1.198,-5
2.929,0.921,0.080,0.841,-5
3.728,0.833,0.080,0.753,-5
3.852,1.015,0.078,0.937,-5
3.222,1.106,0.078,1.028,-5
3.270,0.159,0.088,0.071,-5
2.317,0.143,0.084,0.059,0
4.822,1.164,0.086,1.078,-5
3.430,1.241,0.089,1.152,-5
3.449,0.984,0.081,0.903,-5
3.044,0.578,0.077,0.501,-5
4.344,1.092,0.077,1.015,-5
3.459,0.127,0.081,0.046,0
3.089,0.150,0.080,0.070,0
3.108,0.113,0.077,0.036,0
3.333,0.953,0.085,0.868,-5
4.027,0.832,0.080,0.752,-5
4.384,1.472,0.077,1.395,-5
2.952,0.119,0.076,0.043,0
3.612,0.371,0.077,0.294,0
3.716,0.789,0.086,0.703,-5
3.398,0.116,0.077,0.039,0
3.667,0.781,0.076,0.705,-5
2.800,0.824,0.079,0.745,-5
2.474,0.109,0.076,0.033,0
3.985,0.279,0.076,0.203,0
2.754,0.887,0.084,0.803,-5
3.351,0.131,0.077,0.054,-5
3.581,0.119,0.077,0.042,0
3.568,0.122,0.077,0.045,0
3.404,0.178,0.080,0.098,-5
2.533,0.304,0.077,0.227,0
4.361,0.125,0.079,0.046,0
3.301,0.544,0.077,0.467,-5
2.802,0.726,0.077,0.649,-5
3.356,0.138,0.077,0.061,0
3.920,0.823,0.080,0.743,-5
3.387,0.111,0.076,0.035,0
3.382,0.131,0.078,0.053,-5
3.654,0.858,0.076,0.782,-5
3.448,0.236,0.076,0.160,0
2.778,0.914,0.076,0.838,-5
3.649,1.022,0.076,0.946,-5
3.868,1.230,0.079,1.151,-5
3.258,0.181,0.080,0.101,-5
3.672,0.976,0.081,0.895,-5
3.723,0.208,0.078,0.130,-5
3.575,0.113,0.078,0.035,0
2.874,0.136,0.077,0.059,0
3.990,0.847,0.077,0.770,-5
3.354,0.132,0.079,0.053,0
3.489,1.699,0.079,1.620,-5
2.850,0.106,0.077,0.029,0
3.713,0.917,0.080,0.837,-5
3.674,0.135,0.077,0.058,-5
3.697,0.829,0.082,0.747,-5
2.061,0.274,0.076,0.198,-5
3.310,1.013,0.090,0.923,-5
3.980,1.144,0.079,1.065,-5
3.215,1.120,0.087,1.033,-5
3.791,1.477,0.098,1.379,-5
3.832,1.297,0.080,1.217,-5
3.308,0.146,0.079,0.067,0
3.904,0.981,0.080,0.901,-5
3.261,0.244,0.084,0.160,0
3.574,0.629,0.086,0.543,-5
3.556,1.069,0.078,0.991,-5
3.745,1.431,0.080,1.351,-5
3.270,0.119,0.078,0.041,0
2.901,1.002,0.077,0.925,-5
3.611,0.126,0.077,0.049,0
4.072,1.419,0.077,1.342,-5
3.962,1.069,0.078,0.991,-5
3.846,1.617,0.077,1.540,-5
3.755,1.576,0.076,1.500,-5
3.053,0.408,0.077,0.331,0
3.699,0.146,0.091,0.055,0
3.351,0.186,0.081,0.105,0
3.527,1.614,0.089,1.525,-5
4.058,1.452,0.077,1.375,-5
3.822,0.116,0.077,0.039,-5
3.366,1.432,0.084,1.348,-5
3.497,0.219,0.080,0.139,0
3.063,0.173,0.092,0.081,0
3.310,1.546,0.079,1.467,-5
3.823,1.453,0.086,1.367,-5
2.769,0.165,0.082,0.083,0
2.817,0.340,0.102,0.238,-5
3.601,1.572,0.079,1.493,-5
4.255,1.182,0.081,1.101,-5
3.704,1.174,0.078,1.096,-5
4.057,1.603,0.077,1.526,-5
2.942,0.114,0.077,0.037,0
3.898,0.163,0.078,0.085,0
3.419,1.498,0.095,1.403,-5
2.254,0.134,0.081,0.053,0
3.559,0.140,0.081,0.059,-5
2.431,0.108,0.083,0.025,0
4.371,0.146,0.080,0.066,0
3.429,1.751,0.094,1.657,-5
3.087,0.160,0.083,0.077,0
3.630,0.150,0.084,0.066,-5
3.157,1.174,0.084,1.090,-5
4.268,1.118,0.080,1.038,-5
3.727,0.477,0.082,0.395,0
3.608,0.640,0.081,0.559,-5
3.783,1.796,0.086,1.710,-5
3.661,0.308,0.104,0.204,0
3.109,0.270,0.104,0.166,0
2.948,1.618,0.083,1.535,-5
3.860,0.494,0.126,0.368,0
2.932,0.106,0.081,0.025,0
3.746,1.122,0.079,1.043,-5
4.241,1.142,0.082,1.060,-5
2.380,0.205,0.079,0.126,0
2.876,0.167,0.081,0.086,0
3.342,0.132,0.083,0.049,0
3.439,0.181,0.082,0.099,-5
3.355,0.186,0.082,0.104,-5
3.503,0.454,0.079,0.375,-5
3.564,1.286,0.082,1.204,-5
