T, time, status
2.800,0.169,-5
2.474,0.243,0
3.995,0.108,0
2.754,0.063,0
3.357,0.632,-5
3.581,0.075,0
3.568,0.084,0
3.405,0.119,0
2.533,0.061,0
4.417,0.294,-5
3.302,0.107,0
2.802,0.072,0
3.356,0.130,0
3.958,0.601,-5
3.387,0.079,-5
3.388,0.197,-5
3.685,1.130,-5
3.448,0.061,0
2.765,0.809,-5
4.321,0.092,-5
3.868,1.231,-5
3.256,0.161,-5
3.684,0.154,0
3.723,0.323,-5
3.575,0.066,0
2.874,0.085,0
4.608,0.101,0
3.354,0.084,-5
3.489,1.140,-5
2.850,0.132,0
3.720,0.302,0
3.674,0.156,-5
3.695,0.672,-5
2.061,0.133,0
3.310,0.099,0
3.939,0.912,-5
3.215,0.110,0
3.791,0.807,-5
3.832,0.076,0
3.332,0.902,-5
3.911,0.366,0
3.261,0.086,0
3.574,1.518,-5
3.557,0.140,0
3.744,0.171,-5
3.270,0.081,0
2.902,0.302,0
3.611,0.071,0
4.087,1.029,-5
3.961,0.958,-5
3.835,1.096,-5
3.756,0.336,0
3.053,0.941,-5
3.699,1.051,-5
3.351,0.076,0
3.527,0.301,0
4.058,0.733,-5
3.827,0.131,-5
3.366,0.894,-5
3.497,0.851,-5
3.063,0.087,0
3.310,0.848,-5
3.827,0.141,0
2.769,0.060,0
2.817,0.105,-5
3.600,0.868,-5
4.831,0.712,-5
3.704,0.652,-5
4.042,0.087,-5
2.942,0.154,-5
4.180,1.232,-5
3.419,0.531,0
2.254,0.095,0
3.571,0.753,-5
2.431,0.063,0
4.372,0.120,0
3.429,0.706,-5
3.087,0.088,0
3.632,0.086,-5
3.158,0.276,0
4.204,0.641,-5
3.727,0.394,0
3.614,0.368,0
3.783,0.830,-5
3.662,0.190,0
3.109,1.178,-5
2.948,0.237,-5
4.024,0.125,-5
2.932,0.056,0
3.744,0.685,-5
4.247,0.832,-5
2.380,0.164,0
2.876,0.077,0
3.325,0.175,0
3.465,1.028,-5
3.355,0.244,0
3.522,0.616,-5
3.564,0.066,0
3.497,0.083,-5
2.909,1.129,-5
3.119,0.090,0
3.778,1.189,-5
4.261,0.840,-5
3.747,0.131,0
2.470,0.152,-5
4.192,0.856,-5
3.757,0.998,-5
2.349,0.108,-5
3.601,0.076,0
3.327,0.093,0
2.706,0.101,0
4.289,0.763,-5
3.453,0.112,0
3.866,0.068,-5
4.066,0.070,0
3.570,0.313,0
3.984,1.114,-5
3.731,0.058,0
2.698,0.099,0
3.293,0.722,-5
4.193,0.899,-5
4.077,0.876,-5
3.171,0.237,0
3.584,0.695,-5
3.789,0.095,-5
3.474,0.069,0
2.970,0.100,0
3.423,0.069,0
3.845,0.934,-5
3.767,0.596,-5
3.307,0.109,0
2.815,0.071,0
3.389,0.067,0
3.426,0.872,-5
3.933,0.762,-5
2.839,0.094,0
3.393,0.072,0
2.414,0.067,0
1.956,0.068,0
3.203,0.066,0
4.202,1.066,-5
3.475,0.106,-5
3.186,1.046,-5
3.571,0.108,0
3.682,1.021,-5
3.785,0.774,-5
3.481,0.701,-5
3.136,0.106,0
3.508,0.107,0
3.212,0.064,0
3.348,0.087,-5
4.108,0.988,-5
3.972,1.081,-5
3.810,0.812,-5
3.133,0.863,-5
3.188,0.713,-5
3.069,1.208,-5
3.395,0.445,0
3.098,0.488,0
3.973,1.202,-5
3.290,0.113,0
3.996,0.078,0
4.188,0.616,-5
4.154,0.777,-5
2.983,0.072,0
1.851,0.070,0
3.629,0.926,-5
4.133,0.900,-5
3.946,0.541,0
3.254,0.090,0
4.097,0.799,-5
3.635,0.080,0
3.166,0.224,0
2.178,0.184,-5
3.281,0.273,-5
3.676,0.160,-5
3.032,0.084,0
2.206,0.619,-5
4.449,0.892,-5
3.282,0.999,-5
3.960,1.236,-5
2.171,0.072,0
3.781,0.118,-5
3.372,0.334,0
1.938,0.063,0
2.947,0.937,-5
3.772,0.272,-5
3.002,0.097,0
3.377,0.513,0
3.079,0.384,0
4.402,0.168,0
2.807,0.103,0
3.588,0.838,-5
2.892,0.100,0
3.778,0.105,0
3.187,0.871,-5
3.120,0.101,0
3.965,0.950,-5
1.495,0.107,-5
3.715,0.667,-5
2.939,0.686,-5
3.413,0.097,-5
4.055,0.122,-5
3.612,0.080,-5
3.025,0.195,0
2.828,0.111,-5
3.433,1.258,-5
3.342,0.124,0
3.271,0.718,-5
3.487,0.207,0
3.202,0.086,0
4.204,0.883,-5
3.015,0.112,0
2.679,0.870,-5
3.276,0.627,-5
2.339,0.080,0
2.896,0.151,0
3.154,0.490,0
3.296,0.069,-5
3.205,0.101,0
3.625,0.574,-5
3.480,1.026,-5
3.442,0.073,0
2.953,0.083,0
2.985,0.080,0
3.297,0.927,-5
3.085,0.090,0
2.723,0.087,0
3.199,0.114,-5
3.553,0.096,0
2.584,0.091,-5
3.320,0.754,-5
3.209,0.866,-5
2.935,0.951,-5
3.447,0.384,0
3.017,0.087,0
3.195,0.565,0
2.537,0.084,0
3.002,0.339,-5
3.465,0.180,0
3.478,1.086,-5
3.819,1.060,-5
3.025,0.053,0
2.763,0.067,0
3.513,0.279,0
4.260,0.115,-5
3.938,0.851,-5
2.676,0.109,0
2.966,0.936,-5
3.423,0.891,-5
2.825,0.511,-5
3.248,0.125,0
3.814,0.785,-5
3.867,0.873,-5
2.129,0.087,0
3.333,0.158,-5
3.349,0.090,0
2.722,0.082,0
3.522,0.134,-5
4.598,0.946,-5
1.152,0.117,-5
3.335,1.171,-5
3.595,0.948,-5
3.778,0.165,0
2.677,0.244,0
3.383,0.084,-5
3.339,0.804,-5
2.673,0.085,0
3.559,0.117,-5
2.185,0.302,-5
3.768,1.071,-5
3.538,1.029,-5
4.494,0.983,-5
3.729,0.829,-5
4.105,0.090,0
3.164,0.916,-5
4.239,0.734,-5
3.791,0.194,0
2.720,0.255,0
4.094,0.987,-5
3.565,0.919,-5
2.582,0.184,0
2.747,0.059,0
3.534,0.104,-5
3.615,0.147,-5
3.830,1.202,-5
3.192,0.778,-5
3.112,0.173,-5
2.631,0.072,0
3.234,0.774,-5
3.450,0.183,0
4.365,1.031,-5
3.561,0.588,-5
4.137,0.974,-5
4.031,0.320,-5
3.486,0.085,0
2.565,0.084,0
4.000,0.881,-5
3.868,1.042,-5
3.147,0.117,0
3.462,0.908,-5
3.803,0.720,-5
3.881,1.036,-5
2.970,0.313,0
4.038,1.414,-5
3.714,0.906,-5
3.734,0.289,-5
3.594,0.078,0
2.525,0.132,0
4.016,1.038,-5
3.011,0.860,-5
3.785,0.673,-5
3.230,0.328,0
2.690,0.066,0
3.507,0.978,-5
3.151,0.943,-5
3.496,0.408,-5
3.991,1.037,-5
3.800,0.691,-5
3.711,0.070,0
